N,array_type,time
36100,random,4174
36200,random,3837
36300,random,3884
36400,random,3857
36500,random,4127
36600,random,3886
36700,random,3918
36800,random,3942
36900,random,3923
37000,random,3948
37100,random,3929
37200,random,4095
37300,random,4059
37400,random,4027
37500,random,4062
37600,random,4320
37700,random,4033
37800,random,4020
37900,random,4052
38000,random,4519
38100,random,4061
38200,random,4156
38300,random,4173
38400,random,4840
38500,random,4143
38600,random,4141
38700,random,5090
38800,random,9329
38900,random,7103
39000,random,4212
39100,random,4206
39200,random,4190
39300,random,4205
39400,random,4232
39500,random,4346
39600,random,4231
39700,random,4496
39800,random,4336
39900,random,4269
40000,random,4847
40100,random,10057
40200,random,6407
40300,random,4438
40400,random,4367
40500,random,4704
40600,random,10266
40700,random,7775
40800,random,4410
40900,random,4434
41000,random,4488
41100,random,4786
41200,random,4467
41300,random,4459
41400,random,4488
41500,random,4525
41600,random,4682
41700,random,4603
41800,random,4583
41900,random,4532
42000,random,4657
42100,random,6167
42200,random,4562
42300,random,4672
42400,random,5141
42500,random,4503
42600,random,4516
42700,random,5126
42800,random,4581
42900,random,4719
43000,random,4655
43100,random,4645
43200,random,4712
43300,random,4673
43400,random,6826
43500,random,10619
43600,random,10128
43700,random,8581
43800,random,8626
43900,random,7617
44000,random,4798
44100,random,4758
44200,random,4833
44300,random,8618
44400,random,7862
44500,random,5255
44600,random,5219
44700,random,5013
44800,random,5052
44900,random,4946
45000,random,4857
45100,random,5128
45200,random,4947
45300,random,5134
45400,random,4952
45500,random,5033
45600,random,4921
45700,random,5120
45800,random,4964
45900,random,4935
46000,random,4997
46100,random,4979
46200,random,4985
46300,random,4982
46400,random,5124
46500,random,4999
46600,random,5343
46700,random,5266
46800,random,5174
46900,random,5144
47000,random,5119
47100,random,5521
47200,random,5556
47300,random,5345
47400,random,5200
47500,random,5176
47600,random,5230
47700,random,5088
47800,random,9902
47900,random,11904
48000,random,11538
48100,random,9958
48200,random,7389
48300,random,5345
48400,random,5365
48500,random,5259
48600,random,8708
48700,random,9593
48800,random,10028
48900,random,9604
49000,random,9499
49100,random,9488
49200,random,9895
49300,random,9261
49400,random,8796
49500,random,8397
49600,random,7648
49700,random,7354
49800,random,6934
49900,random,6465
50000,random,6242
50100,random,12199
50200,random,11961
50300,random,11062
50400,random,10098
50500,random,9802
50600,random,12601
50700,random,11428
50800,random,12236
50900,random,9968
51000,random,12219
51100,random,11613
51200,random,10138
51300,random,9861
51400,random,9990
51500,random,10041
51600,random,10169
51700,random,10102
51800,random,10145
51900,random,12582
52000,random,13395
52100,random,11855
52200,random,10161
52300,random,12834
52400,random,10314
52500,random,10337
52600,random,13211
52700,random,11435
52800,random,10256
52900,random,10510
53000,random,10449
53100,random,10232
53200,random,10012
53300,random,10278
53400,random,10477
53500,random,10045
53600,random,10304
53700,random,10536
53800,random,10439
53900,random,10148
54000,random,9686
54100,random,8450
54200,random,8023
54300,random,7325
54400,random,7140
54500,random,6366
54600,random,7462
54700,random,10529
54800,random,8416
54900,random,6076
55000,random,6874
55100,random,10812
55200,random,6944
55300,random,5932
55400,random,5964
55500,random,6050
55600,random,6907
55700,random,6554
55800,random,6073
55900,random,10595
56000,random,12830
56100,random,13342
56200,random,7372
56300,random,6697
56400,random,6477
56500,random,6305
56600,random,11141
56700,random,10746
56800,random,7254
56900,random,6774
57000,random,6412
57100,random,6315
57200,random,12188
57300,random,13464
57400,random,13618
57500,random,12076
57600,random,14289
57700,random,13445
57800,random,11431
57900,random,13283
58000,random,12795
58100,random,11521
58200,random,11433
58300,random,11698
58400,random,11782
58500,random,11714
58600,random,11494
58700,random,11635
58800,random,11827
58900,random,12465
59000,random,12962
59100,random,12119
59200,random,14149
59300,random,11955
59400,random,12811
59500,random,12071
59600,random,12098
59700,random,11900
59800,random,12331
59900,random,12613
60000,random,12101
60100,random,12307
60200,random,13961
60300,random,11859
60400,random,12373
60500,random,14272
60600,random,14846
60700,random,14834
60800,random,11791
60900,random,14062
61000,random,14572
61100,random,12215
61200,random,12922
61300,random,15449
61400,random,12929
61500,random,11994
61600,random,12547
61700,random,13437
61800,random,14321
61900,random,13222
62000,random,12402
62100,random,12108
62200,random,15149
62300,random,12715
62400,random,12803
62500,random,14030
62600,random,12611
62700,random,13248
62800,random,12513
62900,random,13436
63000,random,13373
63100,random,13868
63200,random,13112
63300,random,14560
63400,random,12654
63500,random,13698
63600,random,12824
63700,random,12856
63800,random,12781
63900,random,12562
64000,random,13014
64100,random,12473
64200,random,15690
64300,random,12944
64400,random,12527
64500,random,12540
64600,random,12274
64700,random,15533
64800,random,12880
64900,random,12831
65000,random,15155
65100,random,13049
65200,random,15646
65300,random,18960
65400,random,15755
65500,random,15971
65600,random,12871
65700,random,14929
65800,random,14823
65900,random,12935
66000,random,13771
66100,random,13825
66200,random,12767
66300,random,12969
66400,random,15757
66500,random,15809
66600,random,15942
66700,random,16919
66800,random,15092
66900,random,14938
67000,random,15218
67100,random,13829
67200,random,13626
67300,random,13610
67400,random,13795
67500,random,13860
67600,random,13994
67700,random,13732
67800,random,14133
67900,random,13765
68000,random,13979
68100,random,13837
68200,random,13281
68300,random,13765
68400,random,13168
68500,random,14166
68600,random,14227
68700,random,15882
68800,random,12725
68900,random,11699
69000,random,10287
69100,random,15366
69200,random,16925
69300,random,14525
69400,random,13558
69500,random,16175
69600,random,14901
69700,random,13802
69800,random,15906
69900,random,16465
70000,random,14384
70100,random,15276
70200,random,13984
70300,random,13716
70400,random,13488
70500,random,11965
70600,random,11553
70700,random,9967
70800,random,9077
70900,random,8415
71000,random,7991
71100,random,14515
71200,random,11621
71300,random,9776
71400,random,16101
71500,random,10334
71600,random,15901
71700,random,13056
71800,random,10892
71900,random,9622
72000,random,9432
72100,random,8443
72200,random,8021
72300,random,8407
72400,random,8140
72500,random,8058
72600,random,11042
72700,random,11662
72800,random,11974
72900,random,17087
73000,random,14266
73100,random,10830
73200,random,15609
73300,random,17297
73400,random,15147
73500,random,12682
73600,random,12051
73700,random,10549
73800,random,9922
73900,random,9167
74000,random,11858
74100,random,14781
74200,random,10574
74300,random,9582
74400,random,11511
74500,random,15569
74600,random,10859
74700,random,9772
74800,random,8913
74900,random,8296
75000,random,8771
75100,random,14254
75200,random,8346
75300,random,8327
75400,random,8426
75500,random,8431
75600,random,8253
75700,random,8874
75800,random,8316
75900,random,8495
76000,random,8433
76100,random,8274
76200,random,8485
76300,random,8525
76400,random,8755
76500,random,8825
76600,random,8663
76700,random,8464
76800,random,17145
76900,random,9185
77000,random,8881
77100,random,8832
77200,random,14412
77300,random,12269
77400,random,8546
77500,random,9040
77600,random,8543
77700,random,8710
77800,random,9055
77900,random,8722
78000,random,8902
78100,random,8705
78200,random,16907
78300,random,9742
78400,random,8837
78500,random,8625
78600,random,12425
78700,random,14094
78800,random,8848
78900,random,9423
79000,random,9541
79100,random,8644
79200,random,9138
79300,random,8868
79400,random,13483
79500,random,12479
79600,random,8931
79700,random,9210
79800,random,12267
79900,random,15046
80000,random,8876
80100,random,18078
80200,random,9083
80300,random,12924
80400,random,16450
80500,random,17165
80600,random,15360
80700,random,14791
80800,random,16225
80900,random,16498
81000,random,16599
81100,random,15559
81200,random,14303
81300,random,12810
81400,random,11808
81500,random,10894
81600,random,10103
81700,random,9104
81800,random,18311
81900,random,10946
82000,random,17379
82100,random,13036
82200,random,17732
82300,random,17740
82400,random,16965
82500,random,16120
82600,random,16558
82700,random,21018
82800,random,20581
82900,random,19853
83000,random,17869
83100,random,19357
83200,random,17823
83300,random,19942
83400,random,16963
83500,random,20753
83600,random,21082
83700,random,21345
83800,random,17461
83900,random,16382
84000,random,17014
84100,random,20211
84200,random,16742
84300,random,16795
84400,random,16955
84500,random,17041
84600,random,16981
84700,random,15535
84800,random,14259
84900,random,11974
85000,random,10639
85100,random,10214
85200,random,9561
85300,random,9477
85400,random,17768
85500,random,10654
85600,random,9935
85700,random,9579
85800,random,23777
85900,random,16205
86000,random,12702
86100,random,19203
86200,random,17942
86300,random,15709
86400,random,14081
86500,random,15618
86600,random,13292
86700,random,11556
86800,random,10533
86900,random,9756
87000,random,9387
87100,random,9811
87200,random,9739
87300,random,9619
87400,random,9943
87500,random,9621
87600,random,9811
87700,random,10243
87800,random,9789
87900,random,9819
88000,random,9725
88100,random,9584
88200,random,9820
88300,random,9782
88400,random,23185
88500,random,19655
88600,random,18541
88700,random,18064
88800,random,19253
88900,random,17668
89000,random,16701
89100,random,20911
89200,random,21889
89300,random,17947
89400,random,17427
89500,random,14978
89600,random,13617
89700,random,11851
89800,random,10861
89900,random,23511
90000,random,17300
90100,random,18113
90200,random,14881
90300,random,13607
90400,random,12391
90500,random,10672
90600,random,20031
90700,random,12348
90800,random,11120
90900,random,10626
91000,random,10233
91100,random,10151
91200,random,10246
91300,random,10254
91400,random,10291
91500,random,16734
91600,random,14249
91700,random,14769
91800,random,14165
91900,random,11841
92000,random,11500
92100,random,13024
92200,random,10368
92300,random,11415
92400,random,18215
92500,random,14029
92600,random,18785
92700,random,18764
92800,random,16373
92900,random,21697
93000,random,19559
93100,random,19774
93200,random,16490
93300,random,14852
93400,random,15840
93500,random,12585
93600,random,19091
93700,random,19423
93800,random,18012
93900,random,15320
94000,random,13597
94100,random,12404
94200,random,10968
94300,random,10616
94400,random,10348
94500,random,10489
94600,random,10504
94700,random,10481
94800,random,19960
94900,random,10547
95000,random,10542
95100,random,14345
95200,random,10603
95300,random,11781
95400,random,16768
95500,random,12324
95600,random,12952
95700,random,12416
95800,random,10709
95900,random,11403
96000,random,13655
96100,random,13842
96200,random,10797
96300,random,10558
96400,random,15742
96500,random,16862
96600,random,16740
96700,random,11631
96800,random,11275
96900,random,11281
97000,random,10999
97100,random,11345
97200,random,11421
97300,random,10822
97400,random,12389
97500,random,18392
97600,random,12676
97700,random,11095
97800,random,10762
97900,random,11142
98000,random,10672
98100,random,11282
98200,random,10863
98300,random,11367
98400,random,11080
98500,random,11423
98600,random,11736
98700,random,11318
98800,random,11331
98900,random,10979
99000,random,13881
99100,random,18910
99200,random,11117
99300,random,11172
99400,random,10990
99500,random,11055
99600,random,11168
99700,random,11239
99800,random,11065
99900,random,11018
100000,random,11328
500,reversed,57
600,reversed,75
700,reversed,91
800,reversed,105
900,reversed,121
1000,reversed,132
1100,reversed,159
1200,reversed,174
1300,reversed,171
1400,reversed,190
1500,reversed,206
1600,reversed,258
1700,reversed,331
1800,reversed,355
1900,reversed,375
2000,reversed,238
2100,reversed,274
2200,reversed,297
2300,reversed,327
2400,reversed,347
2500,reversed,349
2600,reversed,370
2700,reversed,397
2800,reversed,435
2900,reversed,403
3000,reversed,377
3100,reversed,379
3200,reversed,439
3300,reversed,453
3400,reversed,418
3500,reversed,441
3600,reversed,477
3700,reversed,523
3800,reversed,482
3900,reversed,497
4000,reversed,528
4100,reversed,558
4200,reversed,553
4300,reversed,574
4400,reversed,905
4500,reversed,931
4600,reversed,932
4700,reversed,717
4800,reversed,778
4900,reversed,618
5000,reversed,604
5100,reversed,525
5200,reversed,452
5300,reversed,500
5400,reversed,435
5500,reversed,347
5600,reversed,361
5700,reversed,369
5800,reversed,374
5900,reversed,391
6000,reversed,479
6100,reversed,480
6200,reversed,515
6300,reversed,508
6400,reversed,407
6500,reversed,430
6600,reversed,409
6700,reversed,442
6800,reversed,444
6900,reversed,439
7000,reversed,463
7100,reversed,460
7200,reversed,467
7300,reversed,467
7400,reversed,460
7500,reversed,476
7600,reversed,492
7700,reversed,526
7800,reversed,518
7900,reversed,531
8000,reversed,532
8100,reversed,550
