N,area_type,estimated_area,relative_error
82600,wide,0.966993,0.0237961
83100,wide,0.941728,0.00295347
83600,wide,0.950372,0.00619906
84100,wide,0.940452,0.00430415
84600,wide,0.954495,0.0105644
85100,wide,0.947398,0.00304995
85600,wide,0.943468,0.00111064
86100,wide,0.934064,0.0110677
86600,wide,0.937452,0.00747982
87100,wide,0.934254,0.0108664
87600,wide,0.952675,0.00863681
88100,wide,0.934919,0.0101619
88600,wide,0.936558,0.00842719
89100,wide,0.942919,0.00169157
89600,wide,0.959938,0.0163266
90100,wide,0.942888,0.00172514
90600,wide,0.941298,0.00340798
91100,wide,0.946799,0.00241569
91600,wide,0.940478,0.00427686
92100,wide,0.942138,0.00251863
92600,wide,0.948458,0.00417204
93100,wide,0.944272,0.000259995
93600,wide,0.9425,0.00213568
94100,wide,0.951747,0.00765501
94600,wide,0.946494,0.00209271
95100,wide,0.961843,0.0183434
95600,wide,0.939466,0.00534804
96100,wide,0.925126,0.0205308
96600,wide,0.940347,0.00441537
97100,wide,0.953888,0.00992169
97600,wide,0.941101,0.0036164
98100,wide,0.944811,0.00031084
98600,wide,0.94859,0.00431167
99100,wide,0.949453,0.0052253
99600,wide,0.944262,0.000270125
100,tight,0.9126,0.0337921
600,tight,0.881617,0.0665954
1100,tight,0.970982,0.0280192
1600,tight,0.909431,0.037147
2100,tight,0.939962,0.00482287
2600,tight,0.93405,0.011082
3100,tight,0.915326,0.0309061
3600,tight,0.969403,0.0263474
4100,tight,0.927027,0.0185178
4600,tight,0.946033,0.00160444
5100,tight,0.935133,0.00993508
5600,tight,0.9464,0.00199341
6100,tight,0.940859,0.00387306
6600,tight,0.965861,0.0225972
7100,tight,0.928548,0.0169074
7600,tight,0.959964,0.0163547
8100,tight,0.944105,0.000436464
8600,tight,0.949348,0.00511424
9100,tight,0.950857,0.00671238
9600,tight,0.940415,0.0043436
10100,tight,0.944392,0.000132456
10600,tight,0.938907,0.00594016
11100,tight,0.937113,0.00783953
11600,tight,0.947711,0.00338164
12100,tight,0.956177,0.0123446
12600,tight,0.940901,0.00382883
13100,tight,0.95156,0.00745685
13600,tight,0.942672,0.00195351
14100,tight,0.936931,0.0080316
14600,tight,0.951493,0.00738575
15100,tight,0.950429,0.00625923
15600,tight,0.949433,0.00520493
16100,tight,0.946295,0.00188228
16600,tight,0.93795,0.00695296
17100,tight,0.942051,0.00261057
17600,tight,0.956098,0.0122614
18100,tight,0.947614,0.00327853
18600,tight,0.936133,0.00887691
19100,tight,0.939764,0.00503253
19600,tight,0.950108,0.00591886
20100,tight,0.943121,0.00147831
20600,tight,0.939837,0.00495522
21100,tight,0.949764,0.005555
21600,tight,0.942019,0.00264544
22100,tight,0.936535,0.00845076
22600,tight,0.939446,0.00536953
23100,tight,0.944644,0.000134428
23600,tight,0.949121,0.00487445
24100,tight,0.944647,0.000137321
24600,tight,0.944545,2.95771e-05
25100,tight,0.94135,0.00335302
25600,tight,0.951153,0.00702575
26100,tight,0.959091,0.0154301
26600,tight,0.941889,0.00278247
27100,tight,0.940663,0.00408087
27600,tight,0.94242,0.00222046
28100,tight,0.940686,0.00405573
28600,tight,0.950714,0.00656044
29100,tight,0.944251,0.000281608
29600,tight,0.944002,0.00054542
30100,tight,0.937136,0.0078149
30600,tight,0.93679,0.00818089
31100,tight,0.939879,0.00491054
31600,tight,0.941694,0.00298937
32100,tight,0.942241,0.00241009
32600,tight,0.946504,0.00210319
33100,tight,0.94206,0.0026014
33600,tight,0.943835,0.000722448
34100,tight,0.931383,0.0139054
34600,tight,0.945521,0.00106258
35100,tight,0.95213,0.00805961
35600,tight,0.948536,0.00425514
36100,tight,0.942327,0.00231869
36600,tight,0.940397,0.00436193
37100,tight,0.944305,0.000225092
